Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2461665938,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20264253974,20616104298,19215562179,19469022208,20815300220
Angola,9129594819,8936063723,12497347956,14188949398,19640853734,28233712738,41789479932,60448924662,84178035579,75492385928,82526143645,104115807986,113923162050,124912503781,126730196125,102621215573,95337203468,124209385825
Albania,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11386931490,11883682171,13039352744
Andorra,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
Arab World,734768117003,723282816386,729051715399,823110541435,963862340514,1184661549862,1404113530791,1637573196525,2078115659876,1795819607113,2109550811386,2501304511877,2786139307967,2866038091981,2906918403547,2554479933648,2500164034396,2591047461124
United Arab Emirates,104337372362,103311640572,109816201498,124346358067,147824370320,180617018380,222116541865,257916133424,315474615739,253547358747,289787338325,350666031314,374590605854,390107556161,403137100068,358135057862,357045064670,382575085092
Argentina,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530163281575,545982375701,552025140252,526319673732,594749285413,554860945014,637590419269
Armenia,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
Antigua and Barbuda,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296,1157005444,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704,1532397556
Australia,415034227218,378215090694,394486709920,466294700058,611904253806,692641708014,745521862833,851962785585,1052584601611,926448240318,1144260547873,1394280784778,1543411012580,1573696522007,1464955475994,1349034029453,1208039015868,1323421072479
Austria,196799778883,197337879195,213377771504,261695778781,300904221505,315974418605,335998557270,388691445387,430294287388,400172297861,391892746545,431120310089,409425234155,430068712972,441885415806,382065930308,390799991147,416595666397
Azerbaijan,5272617196,5707720391,6235795104,7276013032,8680472169,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3066681387,3007029030,3477502178
Belgium,237904919845,237841968680,258860436665,319002821670,370885026074,387365750529,409813197842,471821105940,518625897173,484552792442,483548031197,527008453887,497884216569,520925468953,530770977634,455039563133,467545548765,492681283049
Benin,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697,9273558272
Burkina Faso,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5816310158,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,11448781714,12873114800
Bangladesh,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102477791472,115279077465,128637938711,133355749482,149990451022,172885454931,195078665828,221415162446,249723887765
Bulgaria,13153016531,14075616789,16276456428,20982685981,25957970922,29636617750,34130122491,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55758754072,56731990232,50199104511,53240893665,56831518294
Bahrain,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32152686170,35307127660
Bahamas,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
Bosnia and Herzegovina,5505984456,5748990666,6651226179,8370020196,10022840635,11225138297,12866524918,15776422673,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16209702864,16911088174,18168579578
Belarus,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,49209523810,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54442374373
Belize,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000
Bolivia,8397912509,8141537938,7905485077,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113
Brazil,655420645477,559372276082,507962487700,558319920832,669316654017,891630175813,1107640297890,1397084345950,1695824571927,1667019780934,2208871646203,2616201578192,2465188674415,2472806919902,2455993625159,1802214373741,1793989048409,2055505502225
Barbados,3121500000,3116650000,3169600000,3274850000,3514350000,3897300000,4246600000,4523750000,4607300000,4434050000,4461650000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4796845981
